RefOGs	num_species	num_genes	min_length	max_length	mean_length	median_length	Orthogroups
RefOG069	10	31	100	356	155	154	Gallus_gallus.ENSGALP00000073211, Homo_sapiens.ENSP00000276571, Gallus_gallus.ENSGALP00000050250, Danio_rerio.ENSDARP00000019621, Homo_sapiens.ENSP00000273610, Mus_musculus.ENSMUSP00000061185, Tetraodon_nigroviridis.ENSTNIP00000018015, Rattus_norvegicus.ENSRNOP00000008037, Danio_rerio.ENSDARP00000114719, Homo_sapiens.ENSP00000369798, Pan_troglodytes.ENSPTRP00000050875, Pan_troglodytes.ENSPTRP00000034753, Monodelphis_domestica.ENSMODP00000023062, Mus_musculus.ENSMUSP00000060405, Pan_troglodytes.ENSPTRP00000020205, Monodelphis_domestica.ENSMODP00000036360, Gallus_gallus.ENSGALP00000051792, Drosophila_melanogaster.FBpp0310724, Danio_rerio.ENSDARP00000107038, Rattus_norvegicus.ENSRNOP00000028031, Rattus_norvegicus.ENSRNOP00000016953, Canis_familiaris.ENSCAFP00000031248, Canis_familiaris.ENSCAFP00000007854, Danio_rerio.ENSDARP00000118835, Monodelphis_domestica.ENSMODP00000046926, Mus_musculus.ENSMUSP00000035321, Monodelphis_domestica.ENSMODP00000028973, Homo_sapiens.ENSP00000296099, Canis_familiaris.ENSCAFP00000040748, Gallus_gallus.ENSGALP00000071657, Tetraodon_nigroviridis.ENSTNIP00000000470
RefOG003	10	50	147	694	566	586	Gallus_gallus.ENSGALP00000008868, Pan_troglodytes.ENSPTRP00000011370, Rattus_norvegicus.ENSRNOP00000060663, Homo_sapiens.ENSP00000397655, Gallus_gallus.ENSGALP00000059321, Canis_familiaris.ENSCAFP00000025970, Rattus_norvegicus.ENSRNOP00000057236, Gallus_gallus.ENSGALP00000014312, Monodelphis_domestica.ENSMODP00000044329, Tetraodon_nigroviridis.ENSTNIP00000021658, Danio_rerio.ENSDARP00000150851, Monodelphis_domestica.ENSMODP00000028428, Ciona_intestinalis.ENSCINP00000017539, Danio_rerio.ENSDARP00000127227, Pan_troglodytes.ENSPTRP00000033631, Tetraodon_nigroviridis.ENSTNIP00000007468, Pan_troglodytes.ENSPTRP00000081641, Canis_familiaris.ENSCAFP00000011747, Homo_sapiens.ENSP00000499751, Danio_rerio.ENSDARP00000146405, Tetraodon_nigroviridis.ENSTNIP00000020643, Gallus_gallus.ENSGALP00000017666, Rattus_norvegicus.ENSRNOP00000017995, Rattus_norvegicus.ENSRNOP00000071182, Canis_familiaris.ENSCAFP00000003986, Danio_rerio.ENSDARP00000012869, Tetraodon_nigroviridis.ENSTNIP00000020505, Homo_sapiens.ENSP00000480388, Danio_rerio.ENSDARP00000151817, Danio_rerio.ENSDARP00000130867, Monodelphis_domestica.ENSMODP00000002800, Mus_musculus.ENSMUSP00000021617, Danio_rerio.ENSDARP00000151401, Homo_sapiens.ENSP00000451575, Mus_musculus.ENSMUSP00000155147, Tetraodon_nigroviridis.ENSTNIP00000013317, Homo_sapiens.ENSP00000419199, Mus_musculus.ENSMUSP00000031696, Canis_familiaris.ENSCAFP00000044251, Danio_rerio.ENSDARP00000142281, Rattus_norvegicus.ENSRNOP00000070875, Mus_musculus.ENSMUSP00000087810, Monodelphis_domestica.ENSMODP00000000114, Danio_rerio.ENSDARP00000143738, Danio_rerio.ENSDARP00000117664, Danio_rerio.ENSDARP00000148698, Danio_rerio.ENSDARP00000114637, Tetraodon_nigroviridis.ENSTNIP00000002256, Mus_musculus.ENSMUSP00000144900, Pan_troglodytes.ENSPTRP00000068816
RefOG056	9	9	127	2034	1460	1459	Drosophila_melanogaster.FBpp0073951, Homo_sapiens.ENSP00000278935, Pan_troglodytes.ENSPTRP00000007418, Monodelphis_domestica.ENSMODP00000017111, Rattus_norvegicus.ENSRNOP00000066074, Tetraodon_nigroviridis.ENSTNIP00000017372, Gallus_gallus.ENSGALP00000011817, Canis_familiaris.ENSCAFP00000019200, Mus_musculus.ENSMUSP00000149815
RefOG020	12	28	170	1847	1571	1690	Pan_troglodytes.ENSPTRP00000048691, Gallus_gallus.ENSGALP00000072403, Gallus_gallus.ENSGALP00000065392, Caenorhabditis_elegans.WBGene00002280.1, Danio_rerio.ENSDARP00000135982, Homo_sapiens.ENSP00000353654, Rattus_norvegicus.ENSRNOP00000074055, Tetraodon_nigroviridis.ENSTNIP00000002564, Pan_troglodytes.ENSPTRP00000058373, Ciona_intestinalis.ENSCINP00000016017, Homo_sapiens.ENSP00000378340, Canis_familiaris.ENSCAFP00000015315, Canis_familiaris.ENSCAFP00000009112, Mus_musculus.ENSMUSP00000098765, Mus_musculus.ENSMUSP00000155180, Mus_musculus.ENSMUSP00000033899, Pan_troglodytes.ENSPTRP00000070019, Homo_sapiens.ENSP00000379866, Rattus_norvegicus.ENSRNOP00000073623, Drosophila_melanogaster.FBpp0078640, Danio_rerio.ENSDARP00000129072, Monodelphis_domestica.ENSMODP00000054906, Gallus_gallus.ENSGALP00000007904, Rattus_norvegicus.ENSRNOP00000054270, Danio_rerio.ENSDARP00000105937, Canis_familiaris.ENSCAFP00000037428, Tetraodon_nigroviridis.ENSTNIP00000008199, Mus_musculus.ENSMUSP00000084282
RefOG011	11	94	129	829	447	478	Mus_musculus.ENSMUSP00000159206, Canis_familiaris.ENSCAFP00000010887, Canis_familiaris.ENSCAFP00000054310, Tetraodon_nigroviridis.ENSTNIP00000005555, Homo_sapiens.ENSP00000217407, Rattus_norvegicus.ENSRNOP00000020713, Homo_sapiens.ENSP00000364562, Mus_musculus.ENSMUSP00000046080, Pan_troglodytes.ENSPTRP00000092888, Gallus_gallus.ENSGALP00000056066, Homo_sapiens.ENSP00000344929, Canis_familiaris.ENSCAFP00000053048, Mus_musculus.ENSMUSP00000086342, Homo_sapiens.ENSP00000170150, Homo_sapiens.ENSP00000262865, Pan_troglodytes.ENSPTRP00000023152, Mus_musculus.ENSMUSP00000028985, Homo_sapiens.ENSP00000364643, Homo_sapiens.ENSP00000253354, Rattus_norvegicus.ENSRNOP00000038379, Pan_troglodytes.ENSPTRP00000022962, Canis_familiaris.ENSCAFP00000010917, Rattus_norvegicus.ENSRNOP00000016431, Canis_familiaris.ENSCAFP00000010910, Rattus_norvegicus.ENSRNOP00000019787, Mus_musculus.ENSMUSP00000046683, Rattus_norvegicus.ENSRNOP00000052209, Rattus_norvegicus.ENSRNOP00000018226, Gallus_gallus.ENSGALP00000071616, Mus_musculus.ENSMUSP00000028984, Homo_sapiens.ENSP00000200676, Monodelphis_domestica.ENSMODP00000030671, Homo_sapiens.ENSP00000364603, Pan_troglodytes.ENSPTRP00000042215, Rattus_norvegicus.ENSRNOP00000017876, Monodelphis_domestica.ENSMODP00000017144, Rattus_norvegicus.ENSRNOP00000018581, Pan_troglodytes.ENSPTRP00000022948, Mus_musculus.ENSMUSP00000086347, Mus_musculus.ENSMUSP00000028986, Pan_troglodytes.ENSPTRP00000052264, Rattus_norvegicus.ENSRNOP00000032123, Monodelphis_domestica.ENSMODP00000000058, Monodelphis_domestica.ENSMODP00000000053, Pan_troglodytes.ENSPTRP00000022947, Gallus_gallus.ENSGALP00000056121, Canis_familiaris.ENSCAFP00000035668, Homo_sapiens.ENSP00000361508, Pan_troglodytes.ENSPTRP00000022959, Pan_troglodytes.ENSPTRP00000024606, Monodelphis_domestica.ENSMODP00000056473, Gallus_gallus.ENSGALP00000038462, Caenorhabditis_elegans.WBGene00015545.1, Pan_troglodytes.ENSPTRP00000067809, Canis_familiaris.ENSCAFP00000056303, Homo_sapiens.ENSP00000501266, Monodelphis_domestica.ENSMODP00000000214, Mus_musculus.ENSMUSP00000063107, Canis_familiaris.ENSCAFP00000013086, Ciona_intestinalis.ENSCINP00000025896, Rattus_norvegicus.ENSRNOP00000052216, Danio_rerio.ENSDARP00000131164, Mus_musculus.ENSMUSP00000067837, Mus_musculus.ENSMUSP00000104939, Gallus_gallus.ENSGALP00000010763, Pan_troglodytes.ENSPTRP00000023154, Tetraodon_nigroviridis.ENSTNIP00000010150, Tetraodon_nigroviridis.ENSTNIP00000000293, Canis_familiaris.ENSCAFP00000010902, Canis_familiaris.ENSCAFP00000010879, Mus_musculus.ENSMUSP00000016168, Rattus_norvegicus.ENSRNOP00000018512, Canis_familiaris.ENSCAFP00000010978, Caenorhabditis_elegans.WBGene00007325.1, Danio_rerio.ENSDARP00000139184, Monodelphis_domestica.ENSMODP00000038592, Mus_musculus.ENSMUSP00000080501, Monodelphis_domestica.ENSMODP00000045835, Canis_familiaris.ENSCAFP00000051263, Pan_troglodytes.ENSPTRP00000055611, Rattus_norvegicus.ENSRNOP00000022594, Gallus_gallus.ENSGALP00000010903, Homo_sapiens.ENSP00000253362, Gallus_gallus.ENSGALP00000045600, Pan_troglodytes.ENSPTRP00000046582, Rattus_norvegicus.ENSRNOP00000047586, Canis_familiaris.ENSCAFP00000014457, Rattus_norvegicus.ENSRNOP00000049523, Canis_familiaris.ENSCAFP00000010928, Pan_troglodytes.ENSPTRP00000087924, Homo_sapiens.ENSP00000380594, Mus_musculus.ENSMUSP00000028983, Monodelphis_domestica.ENSMODP00000000170, Gallus_gallus.ENSGALP00000067696
RefOG052	10	15	205	967	740	815	Monodelphis_domestica.ENSMODP00000002515, Danio_rerio.ENSDARP00000025601, Danio_rerio.ENSDARP00000119088, Pan_troglodytes.ENSPTRP00000001807, Canis_familiaris.ENSCAFP00000048566, Tetraodon_nigroviridis.ENSTNIP00000013946, Danio_rerio.ENSDARP00000131691, Tetraodon_nigroviridis.ENSTNIP00000018191, Danio_rerio.ENSDARP00000073048, Rattus_norvegicus.ENSRNOP00000051102, Mus_musculus.ENSMUSP00000123564, Homo_sapiens.ENSP00000256637, Ciona_intestinalis.ENSCINP00000033251, Gallus_gallus.ENSGALP00000066916, Tetraodon_nigroviridis.ENSTNIP00000010080
RefOG062	11	11	524	634	613	627	Ciona_intestinalis.ENSCINP00000002909, Mus_musculus.ENSMUSP00000029651, Rattus_norvegicus.ENSRNOP00000073658, Pan_troglodytes.ENSPTRP00000045717, Canis_familiaris.ENSCAFP00000016075, Gallus_gallus.ENSGALP00000017187, Tetraodon_nigroviridis.ENSTNIP00000021197, Monodelphis_domestica.ENSMODP00000025799, Homo_sapiens.ENSP00000422354, Drosophila_melanogaster.FBpp0080676, Danio_rerio.ENSDARP00000116055
RefOG054	12	44	79	751	523	530	Pan_troglodytes.ENSPTRP00000071832, Pan_troglodytes.ENSPTRP00000080305, Caenorhabditis_elegans.WBGene00016419.1, Danio_rerio.ENSDARP00000050527, Gallus_gallus.ENSGALP00000027812, Monodelphis_domestica.ENSMODP00000003356, Drosophila_melanogaster.FBpp0291497, Gallus_gallus.ENSGALP00000035733, Tetraodon_nigroviridis.ENSTNIP00000012844, Ciona_intestinalis.ENSCINP00000035497, Canis_familiaris.ENSCAFP00000007942, Monodelphis_domestica.ENSMODP00000011738, Rattus_norvegicus.ENSRNOP00000041764, Drosophila_melanogaster.FBpp0291496, Ciona_intestinalis.ENSCINP00000002932, Caenorhabditis_elegans.WBGene00015332.1, Homo_sapiens.ENSP00000263321, Ciona_intestinalis.ENSCINP00000025552, Ciona_intestinalis.ENSCINP00000025546, Rattus_norvegicus.ENSRNOP00000021971, Danio_rerio.ENSDARP00000073055, Ciona_intestinalis.ENSCINP00000010295, Gallus_gallus.ENSGALP00000037537, Ciona_intestinalis.ENSCINP00000008838, Ciona_intestinalis.ENSCINP00000010070, Caenorhabditis_elegans.WBGene00009001.1, Mus_musculus.ENSMUSP00000022725, Tetraodon_nigroviridis.ENSTNIP00000014259, Homo_sapiens.ENSP00000373570, Tetraodon_nigroviridis.ENSTNIP00000008359, Caenorhabditis_elegans.WBGene00021553.1, Caenorhabditis_elegans.WBGene00010661.1, Ciona_intestinalis.ENSCINP00000018374, Mus_musculus.ENSMUSP00000099895, Canis_familiaris.ENSCAFP00000006504, Pan_troglodytes.ENSPTRP00000007149, Homo_sapiens.ENSP00000392762, Danio_rerio.ENSDARP00000110477, Mus_musculus.ENSMUSP00000004770, Caenorhabditis_elegans.WBGene00022231.1, Danio_rerio.ENSDARP00000111575, Monodelphis_domestica.ENSMODP00000018820, Ciona_intestinalis.ENSCINP00000019001, Tetraodon_nigroviridis.ENSTNIP00000001461
RefOG060	11	68	104	447	319	320	Danio_rerio.ENSDARP00000041387, Danio_rerio.ENSDARP00000098491, Monodelphis_domestica.ENSMODP00000044818, Mus_musculus.ENSMUSP00000144569, Canis_familiaris.ENSCAFP00000043873, Mus_musculus.ENSMUSP00000021066, Canis_familiaris.ENSCAFP00000041557, Monodelphis_domestica.ENSMODP00000020393, Danio_rerio.ENSDARP00000122486, Pan_troglodytes.ENSPTRP00000013481, Gallus_gallus.ENSGALP00000006216, Rattus_norvegicus.ENSRNOP00000069074, Homo_sapiens.ENSP00000005284, Mus_musculus.ENSMUSP00000090567, Tetraodon_nigroviridis.ENSTNIP00000014563, Tetraodon_nigroviridis.ENSTNIP00000021358, Canis_familiaris.ENSCAFP00000036147, Pan_troglodytes.ENSPTRP00000024653, Pan_troglodytes.ENSPTRP00000048500, Pan_troglodytes.ENSPTRP00000016239, Tetraodon_nigroviridis.ENSTNIP00000014204, Danio_rerio.ENSDARP00000118548, Tetraodon_nigroviridis.ENSTNIP00000021357, Gallus_gallus.ENSGALP00000072719, Danio_rerio.ENSDARP00000099217, Homo_sapiens.ENSP00000436836, Canis_familiaris.ENSCAFP00000061579, Danio_rerio.ENSDARP00000024358, Tetraodon_nigroviridis.ENSTNIP00000022009, Pan_troglodytes.ENSPTRP00000077368, Monodelphis_domestica.ENSMODP00000036263, Mus_musculus.ENSMUSP00000138618, Tetraodon_nigroviridis.ENSTNIP00000010928, Caenorhabditis_elegans.WBGene00017400.1, Gallus_gallus.ENSGALP00000056198, Mus_musculus.ENSMUSP00000019290, Homo_sapiens.ENSP00000300105, Danio_rerio.ENSDARP00000152488, Danio_rerio.ENSDARP00000136308, Gallus_gallus.ENSGALP00000043241, Drosophila_melanogaster.FBpp0076940, Tetraodon_nigroviridis.ENSTNIP00000017140, Caenorhabditis_elegans.WBGene00007670.1, Rattus_norvegicus.ENSRNOP00000004383, Canis_familiaris.ENSCAFP00000066699, Mus_musculus.ENSMUSP00000047888, Rattus_norvegicus.ENSRNOP00000075354, Mus_musculus.ENSMUSP00000081664, Gallus_gallus.ENSGALP00000070440, Tetraodon_nigroviridis.ENSTNIP00000010929, Tetraodon_nigroviridis.ENSTNIP00000004552, Danio_rerio.ENSDARP00000119475, Danio_rerio.ENSDARP00000155289, Rattus_norvegicus.ENSRNOP00000004578, Danio_rerio.ENSDARP00000128562, Canis_familiaris.ENSCAFP00000039820, Rattus_norvegicus.ENSRNOP00000008414, Tetraodon_nigroviridis.ENSTNIP00000008143, Homo_sapiens.ENSP00000375647, Mus_musculus.ENSMUSP00000137710, Pan_troglodytes.ENSPTRP00000019652, Rattus_norvegicus.ENSRNOP00000016632, Danio_rerio.ENSDARP00000115063, Tetraodon_nigroviridis.ENSTNIP00000000351, Homo_sapiens.ENSP00000262138, Tetraodon_nigroviridis.ENSTNIP00000014905, Homo_sapiens.ENSP00000270458, Gallus_gallus.ENSGALP00000058205
RefOG009	12	23	598	3375	2691	3075	Gallus_gallus.ENSGALP00000036103, Ciona_intestinalis.ENSCINP00000016161, Mus_musculus.ENSMUSP00000090304, Mus_musculus.ENSMUSP00000043957, Rattus_norvegicus.ENSRNOP00000070049, Danio_rerio.ENSDARP00000135371, Monodelphis_domestica.ENSMODP00000042084, Homo_sapiens.ENSP00000374309, Pan_troglodytes.ENSPTRP00000031732, Rattus_norvegicus.ENSRNOP00000023224, Monodelphis_domestica.ENSMODP00000040336, Homo_sapiens.ENSP00000400365, Drosophila_melanogaster.FBpp0291871, Gallus_gallus.ENSGALP00000064934, Caenorhabditis_elegans.WBGene00002248.1, Canis_familiaris.ENSCAFP00000027440, Tetraodon_nigroviridis.ENSTNIP00000016514, Pan_troglodytes.ENSPTRP00000085556, Canis_familiaris.ENSCAFP00000031428, Danio_rerio.ENSDARP00000131993, Danio_rerio.ENSDARP00000145314, Gallus_gallus.ENSGALP00000066070, Tetraodon_nigroviridis.ENSTNIP00000019514
RefOG027	11	20	290	674	383	372	Rattus_norvegicus.ENSRNOP00000016857, Monodelphis_domestica.ENSMODP00000015177, Pan_troglodytes.ENSPTRP00000032664, Danio_rerio.ENSDARP00000152543, Danio_rerio.ENSDARP00000010065, Mus_musculus.ENSMUSP00000027263, Gallus_gallus.ENSGALP00000056836, Tetraodon_nigroviridis.ENSTNIP00000021009, Danio_rerio.ENSDARP00000005376, Drosophila_melanogaster.FBpp0309256, Tetraodon_nigroviridis.ENSTNIP00000022142, Tetraodon_nigroviridis.ENSTNIP00000014654, Pan_troglodytes.ENSPTRP00000021817, Homo_sapiens.ENSP00000319192, Gallus_gallus.ENSGALP00000066262, Danio_rerio.ENSDARP00000067763, Canis_familiaris.ENSCAFP00000005183, Homo_sapiens.ENSP00000263955, Ciona_intestinalis.ENSCINP00000027245, Canis_familiaris.ENSCAFP00000015677
RefOG070	12	13	428	507	435	428	Gallus_gallus.ENSGALP00000004141, Canis_familiaris.ENSCAFP00000030390, Drosophila_melanogaster.FBpp0078414, Danio_rerio.ENSDARP00000054625, Rattus_norvegicus.ENSRNOP00000071791, Monodelphis_domestica.ENSMODP00000013319, Homo_sapiens.ENSP00000302967, Danio_rerio.ENSDARP00000135487, Caenorhabditis_elegans.WBGene00001835.1, Tetraodon_nigroviridis.ENSTNIP00000013021, Mus_musculus.ENSMUSP00000037981, Ciona_intestinalis.ENSCINP00000004801, Pan_troglodytes.ENSPTRP00000029652
RefOG007	9	57	309	3080	923	693	Rattus_norvegicus.ENSRNOP00000071610, Danio_rerio.ENSDARP00000120943, Monodelphis_domestica.ENSMODP00000021319, Tetraodon_nigroviridis.ENSTNIP00000013030, Rattus_norvegicus.ENSRNOP00000029263, Homo_sapiens.ENSP00000377699, Canis_familiaris.ENSCAFP00000012769, Tetraodon_nigroviridis.ENSTNIP00000019961, Mus_musculus.ENSMUSP00000116634, Mus_musculus.ENSMUSP00000158717, Mus_musculus.ENSMUSP00000051079, Tetraodon_nigroviridis.ENSTNIP00000007341, Danio_rerio.ENSDARP00000154795, Canis_familiaris.ENSCAFP00000050615, Gallus_gallus.ENSGALP00000001725, Monodelphis_domestica.ENSMODP00000017522, Tetraodon_nigroviridis.ENSTNIP00000013027, Pan_troglodytes.ENSPTRP00000072301, Danio_rerio.ENSDARP00000155319, Gallus_gallus.ENSGALP00000010309, Rattus_norvegicus.ENSRNOP00000039239, Monodelphis_domestica.ENSMODP00000060486, Pan_troglodytes.ENSPTRP00000084092, Monodelphis_domestica.ENSMODP00000017533, Tetraodon_nigroviridis.ENSTNIP00000012908, Canis_familiaris.ENSCAFP00000012793, Gallus_gallus.ENSGALP00000022368, Homo_sapiens.ENSP00000456794, Monodelphis_domestica.ENSMODP00000051618, Homo_sapiens.ENSP00000356581, Danio_rerio.ENSDARP00000142495, Pan_troglodytes.ENSPTRP00000054569, Canis_familiaris.ENSCAFP00000012785, Gallus_gallus.ENSGALP00000049008, Rattus_norvegicus.ENSRNOP00000057982, Gallus_gallus.ENSGALP00000050330, Danio_rerio.ENSDARP00000115692, Pan_troglodytes.ENSPTRP00000042713, Mus_musculus.ENSMUSP00000108019, Tetraodon_nigroviridis.ENSTNIP00000016620, Danio_rerio.ENSDARP00000124010, Pan_troglodytes.ENSPTRP00000041054, Danio_rerio.ENSDARP00000101005, Pan_troglodytes.ENSPTRP00000092276, Canis_familiaris.ENSCAFP00000016093, Danio_rerio.ENSDARP00000121957, Canis_familiaris.ENSCAFP00000052220, Tetraodon_nigroviridis.ENSTNIP00000002924, Danio_rerio.ENSDARP00000107322, Mus_musculus.ENSMUSP00000132628, Homo_sapiens.ENSP00000332900, Rattus_norvegicus.ENSRNOP00000020062, Tetraodon_nigroviridis.ENSTNIP00000021388, Mus_musculus.ENSMUSP00000137520, Homo_sapiens.ENSP00000369198, Danio_rerio.ENSDARP00000060709, Homo_sapiens.ENSP00000290823
RefOG059	10	10	1250	1341	1298	1298	Danio_rerio.ENSDARP00000122813, Homo_sapiens.ENSP00000275159, Monodelphis_domestica.ENSMODP00000046619, Ciona_intestinalis.ENSCINP00000014439, Mus_musculus.ENSMUSP00000097328, Rattus_norvegicus.ENSRNOP00000001051, Gallus_gallus.ENSGALP00000023954, Canis_familiaris.ENSCAFP00000057847, Tetraodon_nigroviridis.ENSTNIP00000022344, Pan_troglodytes.ENSPTRP00000093050
